timestamp,mode,topTempC,occupiedTempC,humidityPct,airflowMs,co2ppm
2026-05-16T10:30:00.000Z,dead_atrium,34.2,31.4,68,0.18,640
2026-05-16T10:31:00.000Z,dead_atrium,35.8,32.0,69,0.17,688
2026-05-16T10:32:00.000Z,dead_atrium,37.4,32.7,70,0.16,735
2026-05-16T10:33:00.000Z,dead_atrium,39.1,33.2,70,0.15,782
2026-05-16T10:34:00.000Z,dead_atrium,40.5,33.8,71,0.16,835
2026-05-16T10:35:00.000Z,dead_atrium,41.6,34.1,71,0.17,886
2026-05-16T10:36:00.000Z,dead_atrium,42.1,34.3,70,0.18,918
2026-05-16T10:37:00.000Z,breathe_atrium,41.4,33.9,69,0.28,890
2026-05-16T10:38:00.000Z,breathe_atrium,40.1,33.2,68,0.38,835
2026-05-16T10:39:00.000Z,breathe_atrium,39.2,32.5,67,0.48,790
2026-05-16T10:40:00.000Z,breathe_atrium,38.5,31.9,66,0.56,748
2026-05-16T10:41:00.000Z,breathe_atrium,38.0,31.5,65,0.62,712
2026-05-16T10:42:00.000Z,breathe_atrium,37.7,31.2,64,0.66,684
2026-05-16T10:43:00.000Z,breathe_atrium,37.5,31.0,64,0.69,662
2026-05-16T10:44:00.000Z,breathe_atrium,37.3,30.9,63,0.71,648
2026-05-16T10:45:00.000Z,breathe_atrium,37.4,30.8,63,0.70,642
